Id_pacjenta	Nazwisko	Imie	PESEL	Data_urodzenia
100	Kowal	Waldemar	01211309876	2001-01-13
110	Cyrankowska	Ilona	06281498876	2006-08-14
111	Imbierowicz	Hanna	64040456673	1964-04-04
121	Karlowski	Henryk	55090933455	1955-09-09
122	Nowakowska	Joanna	73050512356	1973-05-05
124	Witkowski	Hubert	88030422354	1988-03-04
135	Walentowicz	Kinga	02250987765	2002-05-09
147	Gumowska	Dorota	65092490065	1965-09-24
155	Duch	Alicja	06231299954	2006-03-12
160	Misz	Borys	77121098855	1977-12-10
161	Barski	Karol	99021766543	1999-02-17
163	Bartkowiak	Bartlomiej	07210376599	2007-01-03
164	Benetkiewicz	Piotr	01260988555	2001-06-09
165	Ciborski	Maciej	57091566457	1957-09-15
166	Gesicki	Radoslaw	00222709836	2000-02-27
170	Grajkowska	Monika	06271109823	2006-07-11
172	Juszczyk	Adela	99100996548	1999-10-09
173	Kolasinski	Karol	98090433765	1998-09-04
180	Kosicka	Kamila	03212099545	2003-01-20
181	Kupinski	Jakub	78061600987	1978-06-16
184	Lajzer	Michal	77092566487	1977-09-25
189	Lipinski	Artur	02281902345	2002-08-19
191	Malkowski	Adam	75082822376	1975-08-28
192	Noch	Przemyslaw	99111590976	1999-11-15
193	Nowicka	Karolina	06231744366	2006-03-17
197	Pawlak	Justyna	01250577856	2001-05-05
198	Pawlowski	Jaroslaw	80062465987	1980-06-24
200	Plaskowski	Jacek	56070476895	1956-07-04
204	Ruminski	Krzysztof	99101010987	1999-10-10
205	Szalewski	Wojciech	99111987656	1999-11-19
207	Szewczyk	Maciej	99092776545	1999-09-27
208	Wadowska	Agnieszka	04262908766	2004-06-29
209	Waga	Emilia	95052768598	1995-05-27
212	Wilkonska	Marta	83070576855	1983-07-05
213	Bojanowska	Magdalena	71022675598	1971-02-26
216	Czyza	Pawel	06281233456	2006-08-12
226	Grabania	Malgorzata	99040554586	1999-04-05
227	Kadajska	Monika	05272799043	2005-07-27
231	Becmer	Wojciech	99032778655	1999-03-27
233	Biernacka	Izabela	58073022657	1958-07-30
235	Blaszkiewicz	Marcin	04280999856	2004-08-09
236	Boladz	Artur	73022098768	1973-02-20
238	Ciecharowska	Ilona	65082890067	1965-08-28
241	Cyrankowska	Monika	03272809866	2003-07-28
243	Dankowski	Daniel	06291477654	2006-09-14
244	Draszczyk	Alicja	99030778645	1999-03-07
245	Duszynska	Joanna	66032685097	1966-03-26
246	Gumowska	Anna	59092098756	1959-09-20
247	Imbierowicz	Joanna	05272555476	2005-07-25
248	Kaminska	Jolanta	04221987656	2004-02-19
249	Karlowski	Radoslaw	80070324576	1980-07-03
252	Koronska	Sylwia	99122889704	1999-12-28
253	lukaszewska	Katarzyna	03271788923	2003-07-17
255	Modlinska	Agnieszka	06260192845	2006-06-01
257	Polarek	Mariola	53070987966	1953-07-09
258	Ottka	Piotr	49072987556	1949-07-29
262	Pieczatowski	Witold	04282277655	2004-08-22
263	Trawinska	Monika	07220899876	2007-02-08
264	Smoczynska	Karolina	99040112365	1999-04-01
266	Walentowicz	Hanna	00290122345	2000-09-01
271	Winiarska	Kinga	83072768895	1983-07-27
272	Walasz	Mariusz	93032265788	1993-03-22
273	Wojciechowska	Katarzyna	01230688765	2001-03-06
274	Wolski	Marek	99022009768	1999-02-20
276	Zawadzka	Monika	97012657489	1997-01-26
283	Wronikowska	Magdalena	06240488976	2006-04-04
284	Andracki	Bartosz	95082336577	1995-08-23
285	Bednarczyk	Lukasz	05210786955	2005-01-07
286	Bogdan	Dawid	99101889765	1999-10-18
288	Janas	Marcin	99072987699	1999-07-29
290	Januszkiewicz	Szymon	04241477685	2004-04-14
291	Kaznowska	Agnieszka	47032598077	1947-03-25
292	Korda	Dawid	88122685903	1988-12-26
295	Kosicki	Pawel	06250799087	2006-05-07
296	Krankowska	Justyna	99052009768	1999-05-20
299	Kurasz	Malgorzata	80072765543	1980-07-27
300	Miler	Beata	99012776588	1999-01-27
301	Nielepiec	Tomasz	02222678854	2002-02-26
303	Pietrzak	Iwona	76103098067	1976-10-30
306	Pirogowski	Piotr	06220488795	2006-02-04
307	Romanska	Monika	73082776855	1973-08-27
308	Sankiewicz	Przemyslaw	99100445677	1999-10-04
309	Sibilak	Izabela	70120675809	1970-12-06
311	Siemiatkowska	Anna	00210188976	2000-01-01
313	Sowinska	Dorota	88012087966	1988-01-20
314	Srubka	Marta	03292376544	2003-09-23
316	Waruszewska	Agnieszka	81102454687	1981-10-24
317	Wichrowska	Malgorzata	01212799822	2001-01-27
318	Wilczek	Agata	95082778956	1995-08-27
319	Wiorowska	Agnieszka	04292148765	2004-09-21
401	Wirowski	Marcin	90112238495	1990-11-22
403	Wozniak	Szymon	99123009458	1999-12-30
404	Zielinski	Tomasz	49060987956	1949-06-09
405	Zygarska	Joanna	07220799825	2007-02-07
408	Ostrowski	Grzegorz	01241990654	2001-04-19
409	Rutkowska	Karolina	96022675877	1996-02-26
411	Jeziorski	Adrian	99021774658	1999-02-17
412	Zabielska	Kamila	03260688934	2003-06-06
415	Borowiec	Dorota	07230899833	2007-03-08
416	Rawski	Mariusz	98062657877	1998-06-26
418	Borowski	Andrzej	92031487655	1992-03-14
420	Kandulska	Eugenia	91052687765	1991-05-26
